Data Provided By MyFoodData.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Click ""File"" then ""Download as"" or ""Select All and Copy Paste"" to get the data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If you have a google account click ""File"" then ""Make a Copy"" to edit your own copy of the data. ",,,,"All Serving Sizes are 100 Grams. See the ""Read Me"" tab for more information. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Name,Food Group,Calories,Fat (g),Protein (g),Carbohydrate (g),Sugars (g),Fiber (g),Cholesterol (mg),Saturated Fats (g),Calcium (mg),"Iron, Fe (mg)","Potassium, K (mg)",Magnesium (mg),"Vitamin A, IU (IU)","Vitamin A, RAE (mcg)",Vitamin C (mg),Vitamin B-12 (mcg),Vitamin D (mcg),Vitamin E (Alpha-Tocopherol) (mg),Added Sugar (g),Net-Carbs (g),Water (g),Omega 3s (mg),Omega 6s (mg),PRAL score,Trans Fatty Acids (g),Soluble Fiber (g),Insoluble Fiber (g),Sucrose (g),Glucose (Dextrose) (g),Fructose (g),Lactose (g),Maltose (g),Galactose (g),Starch (g),Total sugar alcohols (g),"Phosphorus, P (mg)",Sodium (mg),"Zinc, Zn (mg)","Copper, Cu (mg)",Manganese (mg),"Selenium, Se (mcg)","Fluoride, F (mcg)",Molybdenum (mcg),Chlorine (mg),Thiamin (B1) (mg),Riboflavin (B2) (mg),Niacin (B3) (mg),Pantothenic acid (B5) (mg),Vitamin B6 (mg),Biotin (B7) (mcg),Folate (B9) (mcg),Folic acid (mcg),Food Folate (mcg),Folate DFE (mcg),Choline (mg),Betaine (mg),Retinol (mcg),"Carotene, beta (mcg)","Carotene, alpha (mcg)",Lycopene (mcg),Lutein + Zeaxanthin (mcg),Vitamin D2 (ergocalciferol) (mcg),Vitamin D3 (cholecalciferol) (mcg),Vitamin D (IU) (IU),Vitamin K (mcg),Dihydrophylloquinone (mcg),Menaquinone-4 (mcg),"Fatty acids, total monounsaturated (mg)","Fatty acids, total polyunsaturated (mg)","18:3 n-3 c,c,c (ALA) (mg)",20:5 n-3 (EPA) (mg),22:5 n-3 (DPA) (mg),22:6 n-3 (DHA) (mg),Tryptophan (mg),Threonine (mg),Isoleucine (mg),Leucine (mg),Lysine (mg),Methionine (mg),Cystine (mg),Phenylalanine (mg),Tyrosine (mg),Valine (mg),Arginine (mg),Histidine (mg),Alanine (mg),Aspartic acid (mg),Glutamic acid (mg),Glycine (mg),Proline (mg),Serine (mg),Hydroxyproline (mg),Alcohol (g),Caffeine (mg),Theobromine (mg),Serving Weight 1 (g),Serving Description 1 (g),Serving Weight 2 (g),Serving Description 2 (g),Serving Weight 3 (g),Serving Description 3 (g),Serving Weight 4 (g),Serving Description 4 (g),Serving Weight 5 (g),Serving Description 5 (g),Serving Weight 6 (g),Serving Description 6 (g),Serving Weight 7 (g),Serving Description 7 (g),Serving Weight 8 (g),Serving Description 8 (g),Serving Weight 9 (g),Serving Description 9 (g),200 Calorie Weight (g)
785497,Oatmeal Multigrain Fat Added In Cooking,Breakfast Cereals,68,1.95,2.1,11.98,0.41,2,3,0.809,9,0.45,51,20,NULL,15,0,0,0,0.31,NULL,9.98,83.4,41,401,1.345,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,55,83,0.54,0.066,NULL,5.2,NULL,NULL,NULL,0.045,0.027,0.591,NULL,0.073,NULL,3,0,3,3,5.2,NULL,15,8,0,0,27,NULL,NULL,NULL,1.5,NULL,NULL,518,442,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,240,"1 cup, cooked",485,"1 cup, dry, yields",170,"1 oz, dry, yields",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,294.118
785498,Quinoa Ns As To Fat Added In Cooking,Grains and Pasta,140,4.74,4.18,20.22,0.82,2.7,0,0.809,17,1.41,164,61,NULL,40,0,0,0.1,1.63,NULL,17.52,69.67,14,2082,2.128,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,145,187,1.03,0.182,NULL,2.7,NULL,NULL,NULL,0.102,0.105,0.391,NULL,0.3,NULL,40,0,40,40,22.3,NULL,38,33,0,0,50,NULL,NULL,NULL,5,NULL,NULL,1446,2315,NULL,0,0,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,170,"1 cup, cooked",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,142.857
785499,Quinoa Fat Not Added In Cooking,Grains and Pasta,120,1.91,4.38,21.21,0.87,2.8,0,0.23,17,1.48,171,64,NULL,0,0,0,0,0.63,NULL,18.41,71.32,15,970,2.221,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,151,163,1.09,0.191,NULL,2.8,NULL,NULL,NULL,0.107,0.11,0.41,NULL,0.123,NULL,42,0,42,42,22.9,NULL,0,3,0,0,53,NULL,NULL,NULL,0,NULL,NULL,526,1074,NULL,0,0,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,170,"1 cup, cooked",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,166.667
785500,Quinoa Fat Added In Cooking,Grains and Pasta,140,4.74,4.18,20.22,0.82,2.7,0,0.809,17,1.41,164,61,NULL,40,0,0,0.1,1.63,NULL,17.52,69.67,14,2082,2.128,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,145,187,1.03,0.182,NULL,2.7,NULL,NULL,NULL,0.102,0.105,0.391,NULL,0.3,NULL,40,0,40,40,22.3,NULL,38,33,0,0,50,NULL,NULL,NULL,5,NULL,NULL,1446,2315,NULL,0,0,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,170,"1 cup, cooked",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,142.857
785501,Rice Cooked Nfs,Grains and Pasta,129,0.28,2.67,27.99,0.05,0.4,0,0.077,10,1.2,35,12,NULL,0,0,0,0,0.04,NULL,27.59,68.01,13,62,1.715,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43,245,0.49,0.069,NULL,7.5,NULL,NULL,NULL,0.162,0.013,1.467,NULL,0.092,NULL,58,55,3,96,2.1,NULL,0,0,0,0,0,NULL,NULL,NULL,0,NULL,NULL,87,76,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,158,"1 cup, cooked",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,155.039
785502,Rice White Cooked Ns As To Fat Added In Cooking,Grains and Pasta,129,0.28,2.67,27.99,0.05,0.4,0,0.077,10,1.2,35,12,NULL,0,0,0,0,0.04,NULL,27.59,68.01,13,62,1.715,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43,245,0.49,0.069,NULL,7.5,NULL,NULL,NULL,0.162,0.013,1.467,NULL,0.092,NULL,58,55,3,96,2.1,NULL,0,0,0,0,0,NULL,NULL,NULL,0,NULL,NULL,87,76,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,163,"1 cup, cooked",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,155.039
785503,Rice White Cooked Fat Added In Cooking Made With Oil,Grains and Pasta,150,3.05,2.6,27.22,0.05,0.4,0,0.454,10,1.17,34,12,NULL,0,0,0,0,0.36,NULL,26.82,66.12,153,1063,1.665,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,42,238,0.47,0.067,NULL,7.2,NULL,NULL,NULL,0.157,0.013,1.426,NULL,0.09,NULL,56,53,3,94,2,NULL,0,0,0,0,0,NULL,NULL,NULL,3.3,NULL,NULL,1248,1217,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,163,"1 cup, cooked",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,133.333
785504,Rice White Cooked Fat Added In Cooking Made With Butter,Grains and Pasta,146,2.61,2.62,27.19,0.05,0.4,6,1.558,10,1.16,35,12,NULL,20,0,0,0,0.11,NULL,26.79,66.5,22,139,1.654,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,42,257,0.48,0.067,NULL,7.3,NULL,NULL,NULL,0.157,0.014,1.426,NULL,0.09,NULL,56,53,3,94,2.6,NULL,19,5,0,0,0,NULL,NULL,NULL,0.2,NULL,NULL,692,161,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,163,"1 cup, cooked",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,136.986
785505,Rice White Cooked Fat Added In Cooking Made With Margarine,Grains and Pasta,141,2.01,2.6,27.2,0.05,0.4,0,0.426,10,1.16,35,12,NULL,24,0,0,0.1,0.65,NULL,26.8,67.12,92,751,1.644,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,42,258,0.47,0.067,NULL,7.2,NULL,NULL,NULL,0.157,0.013,1.424,NULL,0.199,NULL,56,53,3,94,2.3,NULL,22,18,0,0,0,NULL,NULL,NULL,3,NULL,NULL,649,845,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,163,"1 cup, cooked",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,141.844
785506,Rice White Cooked Fat Added In Cooking Ns As To Type Of Fat,Grains and Pasta,147,2.73,2.6,27.2,0.05,0.4,2,0.778,10,1.16,34,12,NULL,11,0,0,0,0.35,NULL,26.8,66.42,103,733,1.665,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,42,247,0.47,0.067,NULL,7.2,NULL,NULL,NULL,0.157,0.013,1.425,NULL,0.111,NULL,56,53,3,94,2.2,NULL,10,5,0,0,0,NULL,NULL,NULL,2.3,NULL,NULL,972,838,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,163,"1 cup, cooked",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,136.054
785507,Rice White Cooked Fat Not Added In Cooking,Grains and Pasta,129,0.28,2.67,27.99,0.05,0.4,0,0.077,10,1.2,35,12,NULL,0,0,0,0,0.04,NULL,27.59,68.01,13,62,1.715,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,43,245,0.49,0.069,NULL,7.5,NULL,NULL,NULL,0.162,0.013,1.467,NULL,0.092,NULL,58,55,3,96,2.1,NULL,0,0,0,0,0,NULL,NULL,NULL,0,NULL,NULL,87,76,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,158,"1 cup, cooked",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,155.039
785508,Rice Brown Cooked Ns As To Fat Added In Cooking,Grains and Pasta,122,0.96,2.73,25.45,0.24,1.6,0,0.259,3,0.56,86,39,NULL,0,0,0,0,0.17,NULL,23.85,69.91,11,353,2.232,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,102,202,0.71,0.106,NULL,5.8,NULL,NULL,NULL,0.177,0.069,2.548,NULL,0.122,NULL,9,0,9,9,9.2,NULL,0,0,0,0,0,NULL,NULL,NULL,0.2,NULL,NULL,367,364,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,196,"1 cup, cooked",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,163.934
785509,Rice Brown Cooked Fat Added In Cooking Made With Oil,Grains and Pasta,140,3.21,2.66,24.87,0.23,1.6,0,0.563,3,0.55,84,38,NULL,0,0,0,0,0.43,NULL,23.27,68.33,126,1163,2.193,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,198,0.69,0.103,NULL,5.6,NULL,NULL,NULL,0.173,0.067,2.49,NULL,0.12,NULL,9,0,9,9,9,NULL,0,0,0,0,0,NULL,NULL,NULL,2.9,NULL,NULL,1307,1289,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,196,"1 cup, cooked",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,142.857
785510,Rice Brown Cooked Fat Added In Cooking Made With Butter,Grains and Pasta,136,2.85,2.68,24.85,0.24,1.6,5,1.463,4,0.55,84,38,NULL,16,0,0,0,0.22,NULL,23.25,68.64,18,409,2.226,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,101,213,0.69,0.103,NULL,5.7,NULL,NULL,NULL,0.173,0.068,2.489,NULL,0.12,NULL,9,0,9,9,9.4,NULL,16,4,0,0,0,NULL,NULL,NULL,0.4,NULL,NULL,854,427,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,196,"1 cup, cooked",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,147.059
785511,Rice Brown Cooked Fat Added In Cooking Made With Margarine,Grains and Pasta,132,2.36,2.66,24.86,0.23,1.6,0,0.54,4,0.55,84,38,NULL,19,0,0,0.1,0.67,NULL,23.26,69.14,75,909,2.18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,213,0.69,0.103,NULL,5.6,NULL,NULL,NULL,0.173,0.068,2.488,NULL,0.209,NULL,9,0,9,9,9.2,NULL,18,14,0,0,0,NULL,NULL,NULL,2.6,NULL,NULL,818,985,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,196,"1 cup, cooked",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,151.515
785512,Rice Brown Cooked Fat Added In Cooking Ns As To Type Of Fat,Grains and Pasta,137,2.95,2.67,24.86,0.23,1.6,2,0.826,3,0.55,84,38,NULL,9,0,0,0,0.42,NULL,23.26,68.57,84,894,2.198,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,205,0.69,0.103,NULL,5.6,NULL,NULL,NULL,0.173,0.067,2.489,NULL,0.137,NULL,9,0,9,9,9.1,NULL,8,4,0,0,0,NULL,NULL,NULL,2.1,NULL,NULL,1082,979,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,196,"1 cup, cooked",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,145.985
785513,Rice Brown Cooked Fat Not Added In Cooking,Grains and Pasta,122,0.96,2.73,25.45,0.24,1.6,0,0.259,3,0.56,86,39,NULL,0,0,0,0,0.17,NULL,23.85,69.91,11,353,2.232,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,102,202,0.71,0.106,NULL,5.8,NULL,NULL,NULL,0.177,0.069,2.548,NULL,0.122,NULL,9,0,9,9,9.2,NULL,0,0,0,0,0,NULL,NULL,NULL,0.2,NULL,NULL,367,364,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,195,"1 cup, cooked",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,163.934
785514,Rice Cream Of Cooked Fat Not Added In Cooking,Breakfast Cereals,69,0.09,1.17,15.28,0.06,0.1,0,0.025,4,5.01,25,5,NULL,0,0,0,0,0.02,NULL,15.18,83.13,4,21,0.676,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,69,0.22,0.053,NULL,3.5,NULL,NULL,NULL,0.076,0.022,1.245,NULL,0.033,NULL,4,0,4,4,1.1,NULL,0,0,0,0,0,NULL,NULL,NULL,0,NULL,NULL,29,25,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,240,"1 cup, cooked",815,"1 cup, dry, yields",155,"1 oz, dry, yields",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,289.855
785515,Rice Cooked With Milk,Grains and Pasta,143,2.21,5.06,25.03,5.11,0.3,8,1.276,126,1.06,168,17,NULL,53,0,0.27,1.2,0.07,NULL,24.73,66.02,38,107,1.216,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,118,363,0.7,0.067,NULL,6.9,NULL,NULL,NULL,0.146,0.19,1.149,NULL,0.067,NULL,45,39,5,72,13.3,NULL,53,4,0,0,0,NULL,NULL,NULL,0.2,NULL,NULL,592,147,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,200,"1 cup, cooked",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,139.86
785516,Rice Sweet Cooked With Honey,Grains and Pasta,140,0.26,2.52,31.3,5.16,0.4,0,0.072,10,1.14,36,11,NULL,0,0,0,0,0.04,NULL,30.9,64.64,12,58,1.536,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40,343,0.47,0.067,NULL,7,NULL,NULL,NULL,0.151,0.014,1.379,NULL,0.088,NULL,54,51,3,90,2.1,NULL,0,0,0,0,0,NULL,NULL,NULL,0,NULL,NULL,82,71,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,175,"1 cup, cooked",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,142.857
785517,Rice Creamed Made With Milk And Sugar Puerto Rican Style,Breakfast Cereals,88,0.96,2.19,17.47,8.85,0.1,3,0.553,56,0.46,73,8,NULL,23,0,0.17,0.5,0.03,NULL,17.37,78.69,16,46,0.481,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,51,125,0.31,0.034,NULL,3,NULL,NULL,NULL,0.065,0.083,0.497,NULL,0.031,NULL,19,17,2,31,6.8,NULL,23,2,0,0,0,NULL,NULL,NULL,0.1,NULL,NULL,256,63,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,245,"1 cup, cooked",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,227.273
785518,Rice Cream Of Cooked Fat Added In Cooking,Breakfast Cereals,80,1.56,1.16,15.03,0.06,0.1,3,0.747,4,4.93,25,5,NULL,15,0,0,0,0.22,NULL,14.93,81.9,30,246,0.671,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,81,0.22,0.052,NULL,3.5,NULL,NULL,NULL,0.075,0.022,1.225,NULL,0.062,NULL,4,0,4,4,1.4,NULL,14,7,0,0,0,NULL,NULL,NULL,0.9,NULL,NULL,441,276,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,240,"1 cup, cooked",815,"1 cup, dry, yields",155,"1 oz, dry, yields",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,250
785519,Rice Cream Of Cooked Ns As To Fat Added In Cooking,Breakfast Cereals,80,1.56,1.16,15.03,0.06,0.1,3,0.747,4,4.93,25,5,NULL,15,0,0,0,0.22,NULL,14.93,81.9,30,246,0.671,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,22,81,0.22,0.052,NULL,3.5,NULL,NULL,NULL,0.075,0.022,1.225,NULL,0.062,NULL,4,0,4,4,1.4,NULL,14,7,0,0,0,NULL,NULL,NULL,0.9,NULL,NULL,441,276,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,240,"1 cup, cooked",815,"1 cup, dry, yields",155,"1 oz, dry, yields",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,250
785520,Rice Cream Of Cooked Made With Milk,Breakfast Cereals,130,3.55,4.34,19.74,5,0.1,10,1.945,117,4.95,162,15,NULL,66,0.1,0.45,1.2,0.26,NULL,19.64,71.43,59,314,0.863,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,110,121,0.62,0.056,NULL,6.5,NULL,NULL,NULL,0.111,0.196,1.313,NULL,0.097,NULL,8,0,8,8,16,NULL,66,11,0,0,0,NULL,NULL,NULL,1.1,NULL,NULL,967,375,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,240,"1 cup, cooked",815,"1 cup, dry, yields",155,"1 oz, dry, yields",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,153.846
785521,Congee,Grains and Pasta,33,0.07,0.68,7.16,0.01,0.1,0,0.02,5,0.31,9,4,NULL,0,0,0,0,0.01,NULL,7.06,91.25,3,16,0.38,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11,253,0.13,0.027,NULL,1.9,NULL,NULL,NULL,0.041,0.003,0.375,NULL,0.024,NULL,15,14,1,25,0.5,NULL,0,0,0,0,0,NULL,NULL,NULL,0,NULL,NULL,22,19,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,249,1 cup,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,606.061
785522,Yellow Rice Cooked Ns As To Fat Added In Cooking,Grains and Pasta,88,0.45,1.8,19.1,0.45,0.5,0,0,12,0.62,195,30,NULL,2,0,0,0,0.06,NULL,18.6,77.09,1,102,-2.624,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,42,340,0.32,0.075,NULL,2.7,NULL,NULL,NULL,0.081,0.029,0.898,NULL,0.141,NULL,25,20,5,39,2.2,NULL,0,0,0,0,0,NULL,NULL,NULL,0.2,NULL,NULL,110,213,NULL,0,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,158,"1 cup, cooked",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,227.273
785523,Yellow Rice Cooked Fat Not Added In Cooking,Grains and Pasta,88,0.45,1.8,19.1,0.45,0.5,0,0,12,0.62,195,30,NULL,2,0,0,0,0.06,NULL,18.6,77.09,1,102,-2.624,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,42,340,0.32,0.075,NULL,2.7,NULL,NULL,NULL,0.081,0.029,0.898,NULL,0.141,NULL,25,20,5,39,2.2,NULL,0,0,0,0,0,NULL,NULL,NULL,0.2,NULL,NULL,110,213,NULL,0,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,158,"1 cup, cooked",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,227.273
785524,Yellow Rice Cooked Fat Added In Cooking,Grains and Pasta,104,2.46,1.76,18.69,0.44,0.4,0,0.38,11,0.6,191,29,NULL,23,0,0,0,0.29,NULL,18.29,75.52,1,657,-2.556,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,41,351,0.31,0.073,NULL,2.6,NULL,NULL,NULL,0.079,0.03,0.878,NULL,0.138,NULL,25,20,5,38,2.4,NULL,19,15,0,0,0,NULL,NULL,NULL,2.5,NULL,NULL,1080,816,NULL,0,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,163,"1 cup, cooked",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,192.308
